index,name,nameEng,il,ilEng
1,Стамбул,stambul,Стамбул,stambul
2,Анкара,ankara,Анкара,ankara
3,Измир,izmir,Измир,izmir
4,Бурса,bursa,Бурса,bursa
5,Адана,adana,Адана,adana
6,Газиантеп,gaziantep,Газиантеп,gaziantep
7,Конья,konya,Конья,konya
8,Анталья,antalya,Анталья,antalya
9,Кайсери,kajseri,Кайсери,kajseri
10,Мерсин,mersin,Мерсин,mersin
11,Эскишехир,eskishekhir,Эскишехир,eskishekhir
12,Диярбакыр,diyarbakyr,Диярбакыр,diyarbakyr
13,Денизли,denizli,Денизли,denizli
14,Шанлыурфа,shanlyurfa,Шанлыурфа,shanlyurfa
15,Самсун,samsun,Самсун,samsun
16,Эсеньюрт,esenyurt,Стамбул,stambul
17,Малатья,malatya,Малатья,malatya
18,Адапазары,adapazary,Сакарья,sakarya
19,Кахраманмараш,kahramanmarash,Кахраманмараш,kahramanmarash
20,Эрзурум,erzurum,Эрзурум,erzurum
21,Ван,van,Ван,van
22,Элязыг,elyazyg,Элязыг,elyazyg
23,Батман,batman,Батман,batman
24,Султанбейли,sultanbejli,Стамбул,stambul
25,Измит,izmit,Коджаэли,kodzhaeli
26,Сивас,sivas,Сивас,sivas
27,Гебзе,gebze,Коджаэли,kodzhaeli
28,Маниса,manisa,Маниса,manisa
29,Балыкесир,balykesir,Балыкесир,balykesir
30,Санджактепе,sandzhaktepe,Стамбул,stambul
31,Тарсус,tarsus,Мерсин,mersin
32,Трабзон,trabzon,Трабзон,trabzon
33,Чорум,chorum,Чорум,chorum
34,Чорлу,chorlu,Текирдаг,tekirdag
35,Каяпынар,kayapynar,Диярбакыр,diyarbakyr
36,Османие,osmanie,Османие,osmanie
37,Адыяман,adyyaman,Адыяман,adyyaman
38,Кютахья,kyutahya,Кютахья,kyutahya
39,Кырыккале,kyrykkale,Кырыккале,kyrykkale
40,Антакья,antakya,Хатай,hataj
41,Бейликдюзю,bejlikdyuzyu,Стамбул,stambul
42,Бююкчекмедже,byuyukchekmedzhe,Стамбул,stambul
43,Искендерун,iskenderun,Хатай,hataj
44,Айдын,ajdyn,Айдын,ajdyn
45,Ушак,ushak,Ушак,ushak
46,Арнавуткёй,arnavutkyoj,Стамбул,stambul
47,Аксарай,aksaraj,Аксарай,aksaraj
48,Ыспарта,ysparta,Ыспарта,ysparta
49,Афьонкарахисар,afonkarahisar,Афьонкарахисар,afonkarahisar
50,Инегёль,inegyol,Бурса,bursa
51,Чекмекёй,chekmekyoj,Стамбул,stambul
52,Текирдаг,tekirdag,Текирдаг,tekirdag
53,Эдирне,edirne,Эдирне,edirne
54,Дарыджа,darydzha,Коджаэли,kodzhaeli
55,Гёльджюк,gyoldzhyuk,Коджаэли,kodzhaeli
56,Караман,karaman,Караман,karaman
57,Кёрфез,kyorfez,Коджаэли,kodzhaeli
58,Орду,ordu,Орду,ordu
59,Сиирт,siirt,Сиирт,siirt
60,Кызылтепе,kyzyltepe,Мардин,mardin
61,Дериндже,derindzhe,Коджаэли,kodzhaeli
62,Мезитли,mezitli,Мерсин,mersin
63,Дюздже,dyuzdzhe,Дюздже,dyuzdzhe
64,Токат,tokat,Токат,tokat
65,Болу,bolu,Болу,bolu
66,Менемен,menemen,Измир,izmir
67,Тургутлу,turgutlu,Маниса,manisa
68,Силиври,silivri,Стамбул,stambul
69,Торбалы,torbaly,Измир,izmir
70,Бандырма,bandyrma,Балыкесир,balykesir
71,Назилли,nazilli,Айдын,ajdyn
72,Зонгулдак,zonguldak,Зонгулдак,zonguldak
73,Карабюк,karabyuk,Карабюк,karabyuk
74,Сиверек,siverek,Шанлыурфа,shanlyurfa
75,Кыршехир,kyrshekhir,Кыршехир,kyrshekhir
76,Акхисар,akkhisar,Маниса,manisa
77,Пурсаклар,pursaklar,Анкара,ankara
78,Люлебургаз,lyuleburgaz,Кыркларели,kyrklareli
79,Нигде,nigde,Нигде,nigde
80,Джейхан,dzhejhan,Адана,adana
81,Эрегли,eregli,Зонгулдак,zonguldak
82,Джизре,dzhizre,Ширнак,shirnak
83,Салихли,salihli,Маниса,manisa
